State,2014,2013,2012,2011,2010,2009,2008
ANA,98,78,89,86,80,97,100
ARI,64,81,81,94,65,70,82
ATL,79,96,94,89,91,86,72
BAL,96,85,93,69,66,64,68
BOS,71,97,69,90,89,95,95
CHC,73,66,61,71,75,83,97
CHW,73,63,85,79,88,79,89
CIN,76,90,97,79,91,78,74
CLE,85,92,68,80,69,65,81
COL,66,74,64,73,83,92,74
DET,90,93,88,95,81,86,74
FLA,77,62,69,72,80,87,84
HOU,70,51,55,56,76,74,86
KCR,89,86,72,71,67,65,75
LAD,94,92,86,82,80,95,84
MIL,82,74,83,96,77,80,90
MIN,70,66,66,63,94,87,88
NYM,79,74,74,77,79,70,89
NYY,84,85,95,97,95,103,89
OAK,88,96,94,74,81,75,75
PHI,73,73,81,102,97,93,92
PIT,88,94,79,72,57,62,67
SDP,77,76,76,71,90,75,63
SEA,87,71,75,67,61,85,61
SFG,88,76,94,86,92,88,72
STL,90,97,88,90,86,91,86
TBD,77,92,90,91,96,84,97
TEX,67,91,93,96,90,87,79
TOR,83,74,73,81,85,75,86
WSN,96,86,98,80,69,59,59
